date,amount,type,category,description,currency
2026-03-17,180.00,EXPENSE,Shopping,Kitchen gadgets,USD
2026-03-18,55.00,EXPENSE,Food & Dining,Groceries - organic produce,USD
2026-03-19,60.00,EXPENSE,Transportation,Uber and Lyft rides,USD
2026-03-20,200.00,EXPENSE,Education,Design workshop,USD
2026-03-21,120.00,EXPENSE,Healthcare,Eye exam and contacts,USD
2026-03-22,32.00,EXPENSE,Food & Dining,Pizza delivery,USD
2026-03-23,65.00,EXPENSE,Utilities,Phone bill,USD
2026-03-24,500.00,INCOME,Investments,Stock dividend,USD
2026-03-25,95.00,EXPENSE,Shopping,Books and stationery,USD
2026-03-26,28.00,EXPENSE,Food & Dining,Lunch takeout,USD
2026-03-27,40.00,EXPENSE,Entertainment,Game purchase,USD
2026-03-28,44.00,EXPENSE,Transportation,Gas fill-up,USD
2026-03-29,75.00,EXPENSE,Food & Dining,Dinner out - Thai food,USD
2026-03-30,38.00,EXPENSE,Food & Dining,Coffee and snacks,USD
2026-04-01,5200.00,INCOME,Salary,April salary,USD
2026-04-01,1450.00,EXPENSE,Housing,April rent,USD
2026-04-02,88.50,EXPENSE,Food & Dining,Weekly groceries - Safeway,USD
2026-04-02,105.00,EXPENSE,Utilities,Electric bill,USD
2026-04-03,45.00,EXPENSE,Utilities,Internet bill,USD
2026-04-03,16.00,EXPENSE,Food & Dining,Morning coffee and muffin,USD
2026-04-04,2000.00,INCOME,Freelance,Brand identity project,USD
2026-04-05,52.00,EXPENSE,Transportation,Gas fill-up,USD
2026-04-05,220.00,EXPENSE,Shopping,New backpack and accessories,USD
2026-04-06,58.00,EXPENSE,Food & Dining,Dinner - Mexican restaurant,USD
2026-04-07,15.99,EXPENSE,Entertainment,Netflix subscription,USD
2026-04-08,35.00,EXPENSE,Healthcare,Pharmacy run,USD
2026-04-09,72.00,EXPENSE,Food & Dining,Groceries midweek,USD
2026-04-10,300.00,EXPENSE,Education,Python bootcamp,USD
2026-04-11,45.00,EXPENSE,Transportation,Uber to airport,USD
2026-04-12,65.00,EXPENSE,Food & Dining,Brunch spot,USD
2026-04-13,150.00,EXPENSE,Shopping,Spring clothes,USD
2026-04-14,30.00,EXPENSE,Entertainment,Streaming subscriptions,USD
2026-04-15,5200.00,INCOME,Salary,April salary 2nd half,USD
2026-04-15,600.00,INCOME,Investments,Quarterly dividend,USD
2026-04-16,42.00,EXPENSE,Food & Dining,Lunch with team,USD
2026-04-17,80.00,EXPENSE,Utilities,Water and garbage,USD
2026-04-18,38.00,EXPENSE,Transportation,Gas fill-up,USD
2026-04-19,95.00,EXPENSE,Food & Dining,Date night dinner,USD
2026-04-20,110.00,EXPENSE,Healthcare,Annual checkup co-pay,USD
2026-04-21,55.00,EXPENSE,Entertainment,Escape room with friends,USD
2026-04-22,48.00,EXPENSE,Food & Dining,Groceries quick run,USD
2026-04-23,185.00,EXPENSE,Shopping,Wireless earbuds,USD
2026-04-24,25.00,EXPENSE,Food & Dining,Coffee beans and tea,USD
2026-04-25,65.00,EXPENSE,Transportation,Car wash and parking,USD
2026-04-26,40.00,EXPENSE,Food & Dining,Takeout Chinese food,USD
2026-04-27,75.00,EXPENSE,Entertainment,Comedy show tickets,USD
2026-04-28,62.00,EXPENSE,Food & Dining,Grocery restock,USD
